Características de la Población a 1 de enero;;;;;;;;;;;;;;;
 Indicadores de la estructura demográfica;;;;;;;;;;;;;;;
;Densidad (Habitantes/Ha.);Edad promedio;Edad mediana;Proporción de juventud;Proporción de envejecimiento;Proporción de sobreenvejecimiento;Índice de envejecimiento;Índice de juventud;Índice de dependencia;Índice de estructura de la población activa;Índice de Reemplazo de la población activa;Razón de progresividad demográfica;Proporción de extranjeros;Proporción de nacidos fuera de España;Proporción de inmigrantes extranjeros
1 de enero de 2018;;;;;;;;;;;;;;;
     Ciudad de Madrid;;;;;;;;;;;;;;;
          031. Pacífico;443,14;47,24;47,74;10,94;24,52;35,80;224,22;44,60;54,94;77,36;40,02;111,09;8,33;14,43;5,07
          032. Adelfas;286,29;44,76;44,71;13,69;20,70;31,21;151,21;66,13;52,41;75,44;42,28;107,80;6,45;11,07;3,86
          033. Estrella;226,60;48,33;49,57;13,10;30,47;30,16;232,51;43,01;77,21;73,50;44,48;90,13;3,70;7,58;1,98
          034. Ibiza;436,45;46,94;46,69;12,40;24,90;39,09;200,83;49,79;59,48;76,07;38,76;113,29;9,90;16,13;5,21
          035. Los Jerónimos;37,11;47,89;48,52;12;26,56;39,06;221,32;45,18;62,76;68,75;41,03;129,62;9,41;16,35;3,72
          036. Niño Jesús;237,53;46,18;47,28;14,84;26,41;32,37;177,91;56,21;70,21;74,01;61,49;96,88;5,08;9,35;2,47
     04. Salamanca;;;;;;;;;;;;;;;
          04. Salamanca;269,39;46,25;45,53;11,42;23,92;37,96;209,52;47,73;54,66;90,29;47,25;110,77;12,52;19,79;6,73
          041. Recoletos;180,45;45,68;45,71;11,90;22,72;33,50;190,88;52,39;52,94;86,36;49,04;118,64;15,81;23,69;7,13
          042. Goya;384,32;46,20;45,51;10,96;23,52;36,33;214,58;46,60;52,63;90,46;41,61;123,62;12,86;20,41;6,78
          043. Fuente del Berro;243,34;46,86;46,01;11,18;24,63;38,07;220,31;45,39;55,77;84,19;44,68;101,21;11,13;18,61;6,21
          044. Guindalera;257,42;46,76;46,16;11,55;24,67;42,04;213,66;46,80;56,78;87,10;53,09;102,94;10,05;16,50;5,99
          045. Lista;402,83;45,94;44,56;11,47;23,96;37,69;208,99;47,85;54,87;98,31;43,25;112,79;13,41;20,52;7,32
