Vertice,C,254;Hoja_MTN,C,50;Situacion,C,254;Señal,C,254;Referencia,C,50;Referenc_1,C,50;Referenc_2,C,50;Referenc_3,C,50;X_ED50,N,19,11;Y_ED50,N,19,11;X_ETRS89,N,19,11;Y_ETRS89,N,19,11;Z_Ortometr,N,19,11;Altura,N,19,11;AzmVert1Vi,C,50;Nombre1Vis,C,50;AzmVert2Vi,C,50;Nombre2Vis,C,50;AzmVert3Vi,C,50;Nombre3Vis,C,50;AzmVert4Vi,C,50;Nombre4Vis,C,50;Año,N,9,0;Fecha,D
7683;559;En la isleta de la Via Carpetana, frente al Paseo de la Ermita del Santo.;Clavo reglamentario.;Vértice de registro 1.09;Vértice de registro 0.46;Vértice de registro 0.84;Pie de semáforo 1.36;437856,561;4472569,403;437747,124;4472361,947;621,061;672,087;;1802;;7684;;;;;2006;30/06/2006
7684;559;En bordillo de acera. En la Vía Carpetana, cruce con la C/ Gallur.;Clavo Reglamentario.;Inicio isleta 10.10;Bolardo 0.82;Bolardo 0.80;Esquina registro de gas 8.30;437730,849;4472443,33;437621,411;4472235,876;619,213;670,239;;7683;;1085;;1086;;;2006;30/06/2006
7685;559;En bordillo de la Vía Carpetana, en el cruce con la C/ López Mezquia.;Clavo reglamentario.;Vértice de bordillo 0.10;Vértice de bordillo 2.00;Pie de bolardo 0.32;Pie de bolardo 2.27;437421,34;4472031,112;437311,898;4471823,665;634,591;685,617;;7686;;7687;;;;;2006;30/06/2006
7686;559;En bordillo de acera. En la Vía Carpetana, en la acera enfrente al número 71, en el cruce con la C/ Ariza.;Clavo Reglamentario.;Farola 3.45;Poste de madera 1.22;Esquina registro de Madritel 1.40;Esquina registro de Madritel 0.30;437542,945;4472255,879;437433,505;4472048,429;629,032;680,058;;1085;;7685;;;;;2006;30/06/2006
8631;582;Está al N.E. de una parcela som arar. A 450 mts. al N.O. del Camino de la Cañada del Molino y a 400 mts. al Sur de la M-45 (P.K. 5.200).;Clavo Reglamentario.;Esquina mojón caido 1.00;Esquina mojón caido 2.05;Centro Hito 0.26;;440373,543;4463954,957;440264,005;4463747,474;608,425;659,472;;8630;;8632;;Cerro los Angeles Cristo;;Cerro los Angeles Iglesia;2006;30/06/2006
8632;582;Está al S.O. de una parcela arada próximo a una intersección de caminos particulares, a 300 mts. al Sur de la M-45 (P.K. 4.750).;Clavo Reglamentario.;Eje camino 3.40;Centro Hito 0.24;;;439956,699;4464057,439;439847,163;4463849,961;611,692;662,739;;8631;;8633;;Cerro los Angeles Cristo;;Cerro los Angeles Iglesia;2006;30/06/2006
8633;582;Está en el borde Oeste del cerramiento del F.F.C.C. a 0.59 por fuera, es la linea C-3 a la altura del P.K. 11.815.;Clavo Reglamentario.;Poste valla 0.81;Poste valla 1.76;Perpendicular muro 0.59;Poste madrea 8.78;439823,816;4464086,068;439714,281;4463878,592;613,323;664,369;;8632;;Cerro los Angeles Iglesia;;;;;2006;30/06/2006
8634;582;Está en el borde Oeste del cerramiento del F.F.C.C. de cercanias C-3 a la altura del P.K. 11.430.;Clavo Reglamentario.;Barrote valla 5.72;Barrote valla 4.43;Barrote valla esquina 0.43;;439975,925;4464451,167;439866,393;4464243,689;616,155;667,201;;8184;;;;;;;2006;30/06/2006
8635;582;Está en el camino de servicio al Norte de la M-45 a la altura del P.K. 4.200.;Clavo Reglamentario.;Barrote valla 0.61;Barrote valla 4.32;Perpendicular valla metálica 0.16;Borde cuneta 1.80;439449,302;4464553,532;439339,773;4464346,061;619,769;670,815;;Cerro los Angeles Cristo;;Cerro los Angeles Iglesia;;Aristrain;;8184;2006;30/06/2006
8637;582;Está en el borde Este de la Ctra. de Toledo A-42 a la altura del P.K. 9.800, en el interior de una fina cerrada a 0.38 del cerramiento. Mojón nuevo de 16x16x60 con el escudo de la comunidad.;Clavo Reglamentario.;Rincón muro 0.86;Fin muro 2.51;Perpendicular muro 0.38;Perpendicular muro 0.81;438551,504;4465165,934;438441,984;4464958,473;617,184;668,229;;Aristrain;;;;;;;2006;30/06/2006
